"LATITUDE","LONGITUDE","INTENS","SLOPE","ERROR","LOCATION","DATETIME","HOUR","MINUTE","SECOND","MINISECOND","PROVINCE","DISTRICT","COUNTRY","INPUTTIME","PROCESSFLAG","USEDIDS","CG_IC","HEIGHT"
"40.484","115.793","-33.458","-9.5","101.3","FourOPT","2015/6/16 17:42:36","17","42","36","8135704","北京市","北京市县","延庆县","2015/6/16 17:42:17","1","2,4,1,60,117","CG","0.000"
"40.480","116.223","-9.803","-3.4","0.0","ThreeMIX","2015/6/16 18:05:04","18","5","4","7617173","北京市","北京市县","延庆县","2015/6/16 18:04:41","1","118,4,60","IC","0.000"
"40.293","116.080","-11.294","-3.5","119.1","FourOPT","2015/6/16 18:29:36","18","29","36","2312028","北京市","北京市县","昌平区","2015/6/16 18:29:14","1","118,2,1,4","IC","2.709"
"40.292","116.070","-11.862","-6.1","0.0","ThreeMIX","2015/6/16 18:29:36","18","29","36","4631804","北京市","北京市县","昌平区","2015/6/16 18:29:14","1","118,0,4","CG","0.000"
"40.439","116.297","-17.176","-4.8","202.6","FourOPT","2015/6/16 17:27:37","17","27","37","6949091","北京市","北京市县","怀柔区","2015/6/16 17:27:14","1","118,1,0,4,2","CG","0.000"
"40.453","116.370","-11.359","-4.8","238.1","FourOPT","2015/6/16 17:27:50","17","27","50","6804338","北京市","北京市县","怀柔区","2015/6/16 17:27:26","1","118,1,0,4","IC","4.867"
"40.457","115.835","-14.158","-5.3","69.9","FourOPT","2015/6/16 17:35:21","17","35","21","2828131","北京市","北京市县","延庆县","2015/6/16 17:34:56","1","2,4,0,1","IC","3.374"
"40.489","115.834","-18.527","-7.2","101.3","FourOPT","2015/6/16 17:35:28","17","35","28","8248405","北京市","北京市县","延庆县","2015/6/16 17:35:04","1","2,4,1,0,117","CG","0.000"
"40.413","115.930","-16.614","-5.1","138.7","FourOPT","2015/6/16 17:43:16","17","43","16","7608270","北京市","北京市县","延庆县","2015/6/16 17:42:51","1","2,1,4,117","CG","0.000"
"40.405","115.942","-25.591","-6.7","138.7","FourOPT","2015/6/16 17:43:16","17","43","16","8244659","北京市","北京市县","延庆县","2015/6/16 17:42:52","1","2,1,4,60,117","CG","0.000"
"40.432","115.954","-12.630","-3.4","69.9","FourOPT","2015/6/16 17:43:33","17","43","33","8958376","北京市","北京市县","延庆县","2015/6/16 17:43:08","1","118,2,0,1,4","IC","1.431"
"40.403","115.963","-21.924","-4.8","69.9","FourOPT","2015/6/16 17:43:38","17","43","38","1391723","北京市","北京市县","延庆县","2015/6/16 17:43:13","1","2,0,4,60,117","IC","3.289"
"40.615","116.364","9.810","4.1","0.0","TwoMIX","2015/6/16 17:50:35","17","50","35","596913","北京市","北京市县","延庆县","2015/6/16 17:50:13","1","118,1","CG","0.000"
